White,WhiteElo,Black,BlackElo,Result
AtvikzXD,1500,Fulkrum,2016,White
Jorgatorbot,985,mazdak-d,1500,Black
kusen,1985,mms1970s,1872,White
Alackofesk,1681,stepanmat00,1500,Black
OpaRodenwald,1591,polskiediebuty,1500,Black
PEDREROL,1165,shadowmonarch56,2034,Black
polskiediebuty,2122,kh_abdulloh,1500,White
formation_46,1500,Nocturne1984,1500,White
Julyanaimarettim,900,s1r3um,1833,Black
Realdish,1803,Combative_Beast,1927,Black
ShadowUnknown11,1673,CanCrane,1771,Black
Gektsis,1183,greilopez,1191,Black
twinkli,1843,alextihoretsk,2348,Black
Elyas200,1457,camzone123,2408,Black
LucaBart1983,1525,Phyhagoras,1210,White
perakreca,1534,BKKK12,1500,White
Gapa_besposhadnyi,1934,AarushhParashar,1500,Black
shahvar1979,1809,YngTallent,1332,White
klasidow,1477,shahvar1979,1809,White
Chess_hack818,1500,AnaKinas1,1549,Black
sawni8,1933,CCC1975,1761,White
Skysungalaxy,1319,mapkku,1121,Black
mai20124,1994,VanyaRussian,1848,White
konodiota,2174,ins84,1419,White
Captaincodd,1580,pedritoq,2203,White
CEOofCZ,2207,talalabb,996,White
Henry_Kl,1877,karthikeya121,1438,White
kusen,1866,Packletka,1619,Black
dangertema,1051,aniket04,1553,White
barba52,1944,karan_modi,1681,White
bernd_kaiser,1842,anrong,1500,Black
Claudiius,1046,Hemoa,1500,Black
skejbsjsksj,1899,DiegoGi,1395,Black
sirsmoopie,1367,Gflee63,1027,Black
sasankallb,1214,kusen,1866,Black
mazdak-d,1500,CHessloverNOTGM,1500,Black
samir-fakhouri,1500,ngoc2k12,1061,Black
vadim97,1427,samir-fakhouri,1500,Black
TheNightKnightDay,2066,yash81,1805,Black
Jyvvie,2217,NCS_20,1900,White
uvnish,1500,streploz,2060,Black
TexasCharlie,890,andr96,2020,White
ArsiPlaysChess2,1229,jnoonan,1082,White
legendkb,1325,mohammadrezadelghavi,2233,Black
pavdu69,1438,yixu_07,938,Black
Ta2022,1500,ervadguney1,1042,White
sasankallb,1214,Stiki90,1937,White
Ali2298110573,1500,mithrandiris,1500,White
uvg37,1136,mdsarva,2002,White
thechesscyclist,1500,fiodor99,1357,White
BojanYu,1500,joolww,1398,Black
Jakupovic-Habib-2026,2362,Mcora,1782,White
vitaly72,1410,Uvg37,1136,Black
Germancarlos,1500,Ellsaraa,1500,White
Hilti176,1500,EnzOevTV,1500,Draw
Panashe201,650,deepfluke,2101,Black
XxKHALDONxX,1500,Mario-198,1326,Black
xSqlyz,1500,lulu72,1508,White
Acella,1807,Jack3r,1892,White
Romann1980,1256,wilson70033,981,White
Russia2000,1057,hectoribalop,1120,White
CheckmateKings171,1957,ahmed10egypt,2465,Black
yokibears,1645,Nosmorimosonosmatamo,2602,Black
Saqmadique,1527,wessamelking,2010,Black
ERIKMANDRAX,1507,ser19999,1148,Black
berkekaytantr,1118,KhuntyPoo,783,Black
dhiogosilva,1282,Eban_npci,1841,Black
Kai_ro,1727,ngoc2k12,1039,White
janez7348,1679,wenjy,1500,Black
EnigmaticStepan,2129,kaumil2001,2169,White
Yash22080,759,Wustenfuchs11,2374,Black
fab_barney,1338,GameChanger_033,1154,Black
jaber84,1495,asumanco,1500,Black
Ivan_Mantorov,984,kishor431818,404,Black
diendeptrai1234565,1500,HARDBRIX,1500,White
ss88_serik,963,lichon1,1628,White
orangelady,2600,dhodysetyawan,2045,White
hajaghaa,1687,midgley,1743,Black
ILDIAVOL0,2258,spoup42,1500,Black
EdinaldoRoberto,1500,TexasCharlie,890,Black
leost79,1016,Melmenshawy,1681,White
phil2024,1744,STHA_RONAK,1934,White
ALIGAR458,1471,Alvarodg89,1745,White
Rubi_chess,1826,jasemjasemjasem,1987,White
bicycle1-2,1601,GarikTatos,1449,Black
fGcunkn,1292,Qqub,1342,Black
stevefinnan,1718,Clemmi,1882,White
HAWK2008,1678,E2830694481,1988,White
plikhta,1352,Lakyranger,1410,Black
Uvg37,1136,AnaKinas1,1549,White
shahvar1979,1809,Kartal_Musti,1924,Black
xkuwaldax,1656,aidilllll,1355,White
NaserOs,1782,JUNIORPAULISTA1890,793,White
smagora25,1847,Andrey_vlg,1635,White
aidilllll,1355,Skysungalaxy,1319,White
damskie,1500,yika1234,1270,Black
E_J_L,1973,Bambuk3,1559,White
Tuores,1903,AAyeee,1427,Black
zzz_sleep,1518,eunoeo,1816,White
tenebrific,2459,AjCeltics,2006,White
petarungjalanan,2611,migoo_33,1684,White
the_art_teacher,1875,salmanlatieff,1394,Black
aidilllll,1355,QyNoob,1979,Black
airybeaminghawk,1581,Mohamed_Altaweel,1802,White
eunoeo,1816,tenebrific,2459,Black
Uvg37,1136,YourBro007,1834,Draw
hornitoqueiru,2107,titeburat69,1500,Black
Ahmed_ashrf_u07,1546,siwakotisandesh,1301,Black
fati_mogheyseh,1499,CKOLIKOCLOB,1663,Black
redstarcp,1873,Hardware98,1762,White
Eaglepower,2066,Hemoa,1500,Black
CHessloverNOTGM,1500,fachero,1500,White
ns0000,1190,romashfka,2131,Black
Ponkerface1,1848,apoll12on1,1161,Black
nehir_sunazma0303,1310,vitaliy_1974,1450,Black
CHessloverNOTGM,1500,tal606,1140,Black
pecker241,2186,AMoore999,2256,White
pierobaldo,646,Nero_234,810,Black
Alex11a,1637,Tansang0983453018,1040,White
Negotonk,1786,Vishnu_E_K,1230,White
SalvatoreLeonel,1500,JDA216,802,White
Reposha,1500,lovesomexdrl,1069,White
xsqlyz,1500,GGBRO33,2216,White
streploz,2060,AlejandraSonidera,1284,White
kharislorenzo,1679,MdHasinurRahman,1979,White
streploz,2060,JSMC1_M,988,White
steve_master_live,1588,Pelejador20,1500,White
aa055,1469,AshyBunny,1507,White
klimpuckov,1500,Abromand50,1986,Black
AhmadShukri,1454,Joseitur,1329,Black
kerberosthereaper,1413,Belleandro,2440,Black
Beginner00000007,723,I2098347123894712,2400,Black
danny130204,1500,SticKCHA0S900,1883,Black
fifalarasya,2527,TheEnemiez,1500,White
AMoore999,2256,nikolay_second,1777,White
JD01,1828,chkamran,1707,Black
DirtJ,1044,axiomaxiomatic,1742,White
khorzookhan48,1380,junak_010,1392,Black
Padreturoldo,1217,Fulcra,2037,Black
AMoore999,2256,QyNoob,1500,Black
byron1824,1238,tenzomenzo,2205,Black
MERYEM-1973,1769,goldencheckers,2154,Black
urbadithink,1500,Mehanichka1221,1700,White
Mafiozi24,1353,MAGNUSSUNGAM,1811,Black
rohamshariat1388,1388,ulik-srulik,2331,Black
vdzwaag,1500,ChandraArdli,1500,Black
bassamdarras,1349,porshevich,2062,Black
Parlindungan16,1937,sulaiman_sulai,1500,Black
e4Yamir23,1500,ferdyggs,2188,White
Elendil62,1355,PhamDangNguyen0304,1500,Black
bilibil,1500,carlodm2211,1500,Black
sontung2024,1862,winveryeasy,1407,White
Teals53,2461,dmedinah12,1587,White
SAIFali123,1199,migoo_33,1684,Black
cabbar1212,1500,MahdiMortezapour,1252,White
norman555,1943,QSQTQFQ,2225,Black
AhmedZenhom_PFCAR,1229,piotrus72,1753,Black
hazz23,1501,Packletka,1529,White
Kartal_Musti,1924,saad_mst9m,2002,Black
sekhar_rocker,1080,Koksohimik,1271,Black
MagnusYTB,2182,Andrua3334,1729,White
illicit1234,884,CoroNestorA,1654,White
Riad_Emara,1056,allexano,1106,White
shahvar1979,1809,blazenope,1500,Black
vishnu_XD,1344,rilana76,1907,White
Kratox782,1790,chkamran,1707,White
jrfijrrf,2294,Soontobezakru,1855,Black
stockfish113,2057,tejasmore2768,1261,White
Muadz87,1102,hakanic,1255,White
deepa_M,1736,Statix11,1349,White
Puping2,1504,gs47,2196,Black
manoj431,1924,conisker,2166,Black
i_am_feh,1153,minhtuedz2012,1500,Black
yourbro007,1834,Alvarodg89,1745,White
BigMoney_Schacharena,1022,AOC335,1688,Black
janesk,1795,eunoeo,1816,White
CheckmateKings171,1957,st_petrovich,1708,White
alexisstoned,1492,viktorbass,1387,Black
stxvxn99,1688,pds3535,1488,White
cztel,1903,JGabiSouza,1245,White
I2098347123894712,2400,hhyyuuuuu,2233,White
Johnny1973,2007,VlChess100,1500,Black
Liepo,1787,Lakyranger,1410,White
Aramayis888,1794,moatazahmed9090,1707,White
poloverdier,995,Gektsis,1183,White
soyleyenda_777,1921,iamkushi,1500,Black
Reborn26,1710,Panashe201,650,White
KSVas,1302,Joseluis1p967,1052,Black
YoungBizness,1068,xaver_mayer_85,1120,White
gsuccessacad,2008,mohjamal90,1503,White
grprabhu,1464,hacker_pro_max_v2,1543,Black
Ponkerface1,1848,UGotStomped,1943,Black
nikolay_second,1777,Dao_lord,1931,Black
M_Wizon,2616,Rankal,1785,White
Saim097,1492,RABITTO,1809,Black
whateverxd,2431,FDAcorrupta,2100,White
capablanca3421,1414,sams3434,1500,Black
joseptakespawns,1840,CoroNestorA,1654,White
midgley,1743,Kuvla,2319,Black
Time_Mgmt,1784,Serjo-1964,1647,White
thedomster,1580,jadoof,1275,White
tleukinanvar,1399,Botiruzbek,1453,White
Pelejador20,2088,Anthasena,1837,White
British_Habsburg,1663,mai20124,1994,Black
Karl0001,1873,brayonwilliam,1067,Black
yur_y-38,2176,ars326,1024,White
tigre2004,1683,Orcotex,1053,White
Uvg37,1136,ghitics,1785,White
Norm53,2391,curlbarra,1547,White
RBavMir,1500,Christinanasser2000,1165,White
BoosterLuck,1155,Mieczyslaw20,1500,Black
Genervin,1869,sergix03,1476,Black
TheLastJudgment000,1500,nehir_sunazma0303,1310,White
Genervin,1869,istigermate,1156,Black
pavdu69,1480,SovaPlayer,1322,White
Ljenkins0331,1747,Campeon1953,1572,White
Bobmel,1998,Norm53,2391,Black
the_art_teacher,1500,XIIITamagoyaki,1479,White
miaoiao,2058,Kuvla,2319,Black
kalonsd,1926,wwwweee1,1766,White
ifk00000,1664,shijilnanu,1719,White
Azkaband,1725,Nurdauren_Kuanyshbek,2002,Draw
kharislorenzo,1679,kalonsd,1926,Black
thedomster,1580,vyoub,1734,White
Ss18raketa,1623,Magnus_Karlsen321,1573,Black
KingDrewE,1972,Negotonk,1786,Black
DaddyHikaru,679,Lizardgg,829,Black
Ant_056-8,1759,JorisGeelen,1261,White
Crazylion77152,1313,samabid334,1573,Black
Supratim95,1998,Eon_Hunter,1019,White
hermesknightmove,1665,alextihoretsk,2348,Black
felopater8,1470,Blasmartinez33,1312,White
Henry_Kl,1877,Jorge_19,1707,White
thayron2006,900,Justinian_the_Greatt,1929,White
Ajustice,1451,alextihoretsk,2348,Black
Karl0001,1873,Akane_Akane,1500,Black
Intimushka,1294,Bole888,1167,Black
rakip01,2288,ERIKMANDRAX,1507,White
KyzerChess98,2218,rakip01,2288,White
nico1976,1533,PoviSebi,1967,Black
jonpekgla,1909,cataramba2000,1500,Black
Pero_44,1699,sami1962,2468,White
Nathaly_2687,1500,RUSLANZUBKO,1817,Black
Ricbrother,2067,MisterJMK,1273,White
JUNIORPAULISTA1890,965,konzolasvv,1563,Black
EMI_HP,2209,santoshome,2046,White
Mostafa2555,1777,Erastro6913,1797,White
Delmanto,1149,fransdaniel,2218,Black
Akane_Akane,1828,MERYEM-1973,1769,White
geni_geni,1840,Thecd,1478,White
rishi648,1500,mangimblud,1788,Black
FDAcorrupta,2100,mrgreennn211,1228,White
gmmmmmmmmmmmmmmmmmmm,1468,ChuongTrann08,2041,Black
esatck,1500,Abdou-bkr,744,Black
Noguera74,877,LucaBart1983,1525,Black
pooriabf,1670,efeyigit16,1605,White
wessamelking,2010,AdamScasny05,1931,Black
ssasxas,988,SBK70,1054,White
ugotstomped,1943,Murat-Aka-Shipashu,699,White
CarJavier,2075,samir-fakhouri,1500,Black
sawni8,2019,Archangel112,2042,Black
AlicanteChess,2433,Sasa_Popovic,2109,White
juraschess,2270,mahilsash,1315,White
Rozinval,1589,soyleyenda_777,1153,White
pavdu69,1438,abdelrhmankamel84,2011,White
debashiskar,1426,romanqoy,515,White
KLUBASD,867,scarface2112,1601,Black
tompropro1234,2070,guerrero456,1877,Black
apoll12on1,1161,streploz,2060,Black
x_revenoir_x,1915,a5pix3l,2028,White
Baizakov454868,1804,antonio3w,1765,Black
Balajiravi,1809,phil2024,1744,Black
jeaffidass,2105,Micro_00,1500,Black
Tluangtea,1778,Ellsaraa,1500,Black
ildottore1981,1409,Samthecat,1386,White
IHATELOSEEE,1036,Tal606,1140,Black
telltales,1195,Davechess9000,2192,White
Mojtaba1414,1610,bernd_kaiser,1842,White
Iain1010,1500,mostafa55jhdd,1782,White
Bernd-Tauchlehrer,1774,Kuvla,2319,Black
Magnosohika,2292,marleyjoubert,1765,Black
Rubi_chess,1826,Norm53,2391,Black
adwaidmj,1861,the_art_teacher,1500,Black
dhodysetyawan,2045,mumud123,1858,White
mars1953,1991,Cantona85,1659,Black
Kowad_NfT,2251,R-Pro,1328,Black
MmeLatouche,1789,ggerousis,1495,Black
ReyMath27,1344,Mars0808,2153,Black
KFiryz4ceLoK,1843,sumitkulkarnee,1567,Black
sv424,1472,Alex19898989,1855,White
herudawe,1883,palermokazar,2085,White
muthumani12345,1314,twinkli,1843,Black
Dhruvchess082008,772,Artem_Baruzdin,1474,White
vdovak,1500,AlikhanGrandmaster,1500,Black
Imath_10,1539,Rac749,1447,White
NCS_20,1900,AlicanteChess,2433,Black
Lasrlayar,2564,Ljenkins0331,1747,White
Ta2022,1500,kurapiiika,1063,White
Pelejador20,1500,amol0000,1028,Black
aliii96,1185,Rigbyanjay,2670,Black
Dmitry_416361,1500,Germancarlos,1500,Black
Parvaneh1970,1794,stalin4760,1514,Black
Samuel_y,1911,EDPsuccesor,1099,Black
saldme,1396,Captaincodd,1580,Black
YamilBanegas,1500,eunoeo,1816,White
jadoof,1275,ngoc2k12,1061,Black
