White,WhiteElo,Black,BlackElo,Result
iesayce,2289,aprelev12,2003,Draw
Ahmed_ashrf_u07,1546,arjunsingh13,2089,White
Oversizedtees,1641,Pejantantangguhnih,1941,Black
HikarutheArabs,2451,koznazna,1802,White
CristianoTheGoat,1500,marcelorodrigues15,1464,White
young_lion,2303,Samsulkenn,3035,Black
mergenxk,2187,dhiogosilva,1282,White
vivaansha,985,jivesh06,2063,Black
L55e97f07b,2034,twinkli,1843,White
Nijigajan,1912,boriskobis1,1622,White
dkorsun,1336,dankapsan,2306,Black
mihark1,2128,Uvg37,1136,Black
dddddd1337,1787,BigMoney_Schacharena,1022,Black
anyelovi,1500,funaoo,1201,White
Ilminator1,1421,murod0099,1399,Black
Nijigajan,1912,Haroonloveschess,1191,White
volodyaa1,1110,Elendil62,1355,White
Iliys198,1553,hfzzylcn,2128,Black
Very_Old_Chess_Lady,1508,euphoriauwu,2219,Black
BeatusCor,1317,sbk70,1748,White
yourname61,597,qwezxc1111,1749,Black
Givemeachance007,629,Logmann,1889,Black
warpointpro,1874,soyleyenda_777,1921,White
karim_555,1773,NDU_RCT_Ambolodto,1492,White
BeatusCor,1317,dfgl,1714,White
kafanski_sah,1829,Morgan123_MX,2281,Black
intern1234,1500,Koninaaaaaaa,1426,White
Frisbee1,1342,mando1400,633,White
ulhas69,1225,Arun_pandiyan,1636,Black
mjekrra,1405,Alex116603,1780,White
zoom050,2406,Anton23233,1344,White
zjy1,2385,Buudka05,2038,White
nani4119,2175,VoiculescuC,1500,White
Grigorian_Artyr,2275,chessmaster3040,2100,White
ibroker,2185,Johnny1973,2007,Black
gukserg,1688,mariusmuller,1463,Black
QSQTQFQ,2225,kav06031951,1783,White
DeepVicious,777,moen8742,2158,Black
Mojtaba1414,2255,doc1st,1713,Black
nagato666,1745,st_petrovich,1708,White
Mayhem_25,1616,maxoliver63,793,White
midgley,1743,audieepoy04,1580,Black
frankwhite125,1692,Mojtaba1414,1610,White
Piedra2022,1330,alekskz,2178,Black
kylemoely,1581,streploz,2060,White
desanatierra,2345,boz808,1545,Black
Streploz,2060,Vigor54,1692,White
billybodybuilder,1981,gunkka,962,White
abdelrhmankamel84,2011,Kakaroto2262009,1449,Black
Dipakbera,1892,mercurio5,2467,White
Fedor-009,1500,gigant303,2028,Black
khadernijim,1572,MalekAdawi,1344,White
xanman5001,1500,djseje,943,Black
alexandrij_shell05,1900,ifk00000,1664,Black
gerrytabora,1458,IlijaBjelanovic11,1500,White
MikuLoverBoy,1406,donaltrampa2,1500,White
chenyueyue1225,2433,El_Professor_00321,1388,White
AmanRaj69,968,paul2541000lll,782,Black
MatSeruna,1018,brooasadds,1179,Black
vigor54,1692,malarkan1217,1711,Black
Joseluis1p967,1052,dhiogosilva,1282,White
Skif271,1874,snooky06200,1500,Black
DavidZeldi,540,KindlyNurse,1113,Black
zetrixss,1556,Chabitoo,1846,Black
akbarkarimi48,1500,ILove2Mate,1631,Black
Mieczyslaw20,1500,Leonnnardo,1464,White
DracoX,1500,Realdish,1803,White
Mg1968-52,1432,Caterpillar_88,2128,Black
hater78,1620,masama1,1500,Black
MrSprinterGMD,1500,papa-vlad,937,Black
Foiterhitohionigh,1636,kuopio,1380,White
A4711,2356,holias,1649,White
AndersIP,1112,RodrigoEduardo89,1903,Black
PoIG,856,Mohit027,778,Black
saeed94,1676,JohnBestBlunder,1607,White
AntonioITA,2439,murod0099,1399,Black
bird2Run,1942,rrudolfkraft,2060,Black
thao38330,1993,uzeaf,1237,White
anatoly_22,1350,F1NK19555,2637,Black
MRosul1,1705,AmirViscount,2066,Black
hhyyuuuuu,2233,ruslankarta,1448,White
Alex_Pak,1311,SergunyaH,1317,White
Belok-Kiri,1437,blackram06,1394,White
Dencio22,2130,dravesh150kg,1924,White
fiodor99,1357,dfgl,1714,Black
aleksandr454017,1500,alextihoretsk,2348,White
palko213,1860,brcondori,1965,White
Giga_007,1474,Ljenkins0331,1747,Black
uglerod78,1746,judedaA1p2,1706,Black
lusaeeb,1418,tyapil,2095,Black
pepelopez,2123,boriskobis1,1622,White
IvanBataev,1772,Sulphur2023,1376,Black
SJDWorld,1500,ckkutik,2263,Black
tomeu2,1701,uzunmehmet,2067,White
DominicGallagher7,1489,mahmoud7oda777,1500,White
hp669,1763,JamesTheMadCoder,1500,White
ideal2K,2239,h3mp,1053,White
EL3SSY,1500,Pelejador20,2088,Black
kaan087,2219,akvksk,1739,Black
Akane_Akane,1828,BRSOTB,1147,White
can33-33,2159,gringo81,918,White
sariyildiz,1796,EsatHilmi,1087,White
BENJA2122,1500,v52,1596,White
KagetheGrandMaster,1500,mrgreennn211,1228,White
MucciSmops,640,alextihoretsk,2348,White
vtan01,1500,ramchandra786,915,White
akvksk,1739,TeacherMessias,1500,Black
men7137,1595,ObyFischer,2124,White
